gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,3/15/2022,0,1,0.328991486,0.129201837,0.042328605,0.011741996,0.00330464,0.000814576,1,1,66,Iowa State,80.57,Midwest,11,82
mens,3/15/2022,1,0.560104044,0.218509142,0.066482038,0.02578123,0.004855185,0.001792779,0.000668119,0,1,87,Notre Dame,81.61,West,11,19
mens,3/15/2022,0,1,0.231951703,0.084512018,0.023338297,0.007985526,0.002869327,0.000870847,1,1,5,Alabama-Birmingham,81.17,South,12,106
mens,3/15/2022,0,1,0.183655741,0.087109056,0.019585997,0.006312305,0.001686506,0.000395674,1,1,257,Richmond,79.91,Midwest,12,74
mens,3/15/2022,0,1,0.137246568,0.030684102,0.002649305,0.000737721,0.000169908,4.13E-05,1,1,166,New Mexico State,77.68,West,12,10
mens,3/15/2022,1,1,0.393572287,0.113289503,0.054128891,0.01890052,0.005623704,0.00224543,1,1,84,Indiana,83.43,East,12,43
mens,3/15/2022,0,1,0.334455766,0.076783068,0.017698632,0.005825526,0.00150521,0.000342089,1,1,2571,South Dakota State,79.67,Midwest,13,78
mens,3/15/2022,0,1,0.282143875,0.101500728,0.009551558,0.002848679,0.000797181,0.000231176,1,1,261,Vermont,80.32,West,13,14
mens,3/15/2022,0,1,0.193360593,0.048897612,0.010102535,0.00267918,0.000755858,0.000180757,1,1,236,Chattanooga,78.7,South,13,110
mens,3/15/2022,0,1,0.074384263,0.016224002,0.004339122,0.000830954,0.000122473,2.70E-05,1,1,2006,Akron,76.69,East,13,46
mens,3/15/2022,0,1,0.15111095,0.036565206,0.007309573,0.001243843,0.00022668,3.70E-05,1,1,2142,Colgate,76.4,Midwest,14,86
mens,3/15/2022,0,1,0.060648741,0.009302146,0.001492088,0.000359484,3.92E-05,6.60E-06,1,1,43,Yale,74.74,East,14,54
mens,3/15/2022,0,1,0.073021924,0.014756785,0.002667486,0.000224952,3.14E-05,4.80E-06,1,1,147,Montana State,74.3,West,14,22
mens,3/15/2022,0,1,0.058597621,0.009821577,0.001144481,0.000124882,1.84E-05,2.32E-06,1,1,2344,Longwood,73.42,South,14,118
mens,3/15/2022,0,1,0.04513203,0.012800177,0.001564271,0.000276676,3.13E-05,5.43E-06,1,1,2612,Saint Peter's,74.17,East,15,62
mens,3/15/2022,0,1,0.054901748,0.013971434,0.002298432,0.000257579,3.74E-05,4.92E-06,1,1,55,Jacksonville State,73.15,Midwest,15,94
mens,3/15/2022,0,1,0.051679428,0.008567882,0.001100123,0.00011923,1.72E-05,2.14E-06,1,1,48,Delaware,73.57,South,15,126
mens,3/15/2022,0,1,0.029355236,0.003167898,0.000431172,2.97E-05,3.00E-06,3.37E-07,1,1,2239,Cal State Fullerton,71.78,West,15,30
mens,3/15/2022,0,1,0.011660363,0.001655318,0.000266501,3.73E-05,5.91E-06,1.02E-06,1,1,2247,Georgia State,73.46,West,16,2
mens,3/15/2022,0,1,0.03698598,0.004816873,0.000629102,6.36E-05,4.72E-06,5.55E-07,1,1,2450,Norfolk State,71.39,East,16,34
mens,3/15/2022,1,0.686563328,0.025380347,0.00568393,0.000760738,0.000114647,1.87E-05,2.63E-06,0,1,2750,Wright State,73.52,South,16,98
mens,3/15/2022,1,1,0.031071183,0.005237626,0.000521218,5.71E-05,6.64E-06,7.05E-07,1,1,2640,Texas Southern,71.14,Midwest,16,66
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
