gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2022-03-13,0,1.0,0.51795856609,0.120156696398,0.049792743807,0.014206593187,0.004669939917,0.001334602038,1,1,30,Southern California,83.02,Midwest,7,88
mens,2022-03-13,0,1.0,0.42069755301,0.113026145738,0.043594176121,0.012838300483,0.003157111486,0.001078504672,1,1,269,Marquette,81.9,East,9,38
mens,2022-03-13,0,1.0,0.482523003626,0.087303082901,0.028848616817,0.010117173569,0.00354449165,0.001049408058,1,1,2550,Seton Hall,82.61,South,8,100
mens,2022-03-13,0,1.0,0.482763608159,0.049709728471,0.025169858906,0.01090102149,0.003320251619,0.001039397147,1,1,68,Boise State,82.49,West,8,4
mens,2022-03-13,0,1.0,0.445588179952,0.08611871089,0.031879196337,0.012279326139,0.003796425179,0.001023347008,1,1,156,Creighton,81.49,Midwest,9,70
mens,2022-03-13,0,1.0,0.580126824317,0.109517412266,0.031927608202,0.011926138127,0.002933269367,0.00100217118,1,1,93,Murray State,81.35,East,7,56
mens,2022-03-13,0,1.0,0.485842378928,0.137707773934,0.043739831341,0.007134307473,0.002494710963,0.00088485653,1,1,2166,Davidson,81.83,West,10,26
mens,2022-03-13,0,1.0,0.231951702737,0.084512017972,0.023338296939,0.007985526413,0.002868661931,0.000870666895,1,1,5,Alabama-Birmingham,81.17,South,12,106
mens,2022-03-13,0,1.0,0.48204143391,0.107425721751,0.039004840576,0.009680204316,0.003026430413,0.000824511057,1,1,2390,Miami (FL),81.13,Midwest,10,90
mens,2022-03-13,0,1.0,0.328991486324,0.129201837025,0.042328604728,0.011730886596,0.003301768429,0.000813932559,1,1,66,Iowa State,80.57,Midwest,11,82
mens,2022-03-13,0,1.0,0.310088601529,0.080358054047,0.027073332689,0.008193766071,0.002683826275,0.000743484532,1,1,36,Colorado State,81.65,South,6,112
mens,2022-03-13,1,0.560104044191,0.218509142131,0.066482038051,0.025781230416,0.004855184649,0.001793112429,0.00066820677,0,1,87,Notre Dame,81.61,West,11b,19
mens,2022-03-13,0,1.0,0.419873175683,0.065411014392,0.017317999198,0.005980355977,0.001345411786,0.00042669595,1,1,2539,San Francisco,81.78,East,10,58
mens,2022-03-13,0,1.0,0.183655741312,0.087109055592,0.019506378481,0.006288213174,0.001680489019,0.000394359398,1,1,257,Richmond,79.91,Midwest,12,74
