name,round1,round2,round3,round4,round5,round6
Texas,0.987732083,0.900119532,0.682160928,0.207502732,0.073671483,0.020848806
Iowa,0.96990792,0.852157329,0.508480773,0.072473758,0.036112826,0.013645067
Iowa State,0.971192297,0.819205338,0.39342871,0.046270309,0.021015077,0.007140135
Michigan,0.97801936,0.741704623,0.214554929,0.07467358,0.012466665,0.003389734
Indiana,0.944520801,0.676499517,0.158995363,0.037756561,0.012479583,0.002911844
Maryland,0.930429884,0.643882414,0.102676943,0.047643505,0.013121085,0.002901531
North Carolina,0.769092676,0.36300028,0.043780715,0.026221832,0.009960125,0.00277875
Tennessee,0.870125261,0.642623203,0.164152902,0.054077243,0.007695277,0.001820573
Virginia Tech,0.780911559,0.302319886,0.044757747,0.019906656,0.005228117,0.001108552
Brigham Young,0.779697935,0.228339356,0.064078419,0.021834004,0.003222865,0.000791369
Louisiana State,0.867103392,0.489402512,0.146493303,0.0235787,0.004744877,0.000774536
Oregon,0.697974192,0.246838106,0.063159804,0.020922115,0.003017656,0.000726265
Ohio State,0.684402781,0.36512796,0.103375561,0.015674094,0.003238584,0.00054375
Notre Dame,0.784790499,0.346496532,0.043529132,0.009770219,0.002521645,0.00045618
Kentucky,0.652414251,0.228890239,0.043993077,0.008760525,0.002364998,0.000448963
Arizona,0.888451507,0.554914738,0.022612846,0.007326262,0.001899495,0.000351682
Mississippi,0.590030494,0.071649287,0.032949164,0.009900006,0.001216935,0.000255016
Oklahoma,0.839544643,0.556082127,0.050077762,0.008435199,0.001746773,0.000251508
Gonzaga,0.516744585,0.049737772,0.024682005,0.007288063,0.000939533,0.000205598
Central Florida,0.711547377,0.068595717,0.029048422,0.00509232,0.0011625,0.000185762
Nebraska,0.483255415,0.044096098,0.022205125,0.006682038,0.000825571,0.000174028
Georgia,0.623533815,0.122356472,0.044699297,0.003581691,0.000902699,0.000163001
South Dakota,0.409969506,0.037330285,0.015821098,0.00434132,0.000544362,0.000116493
Princeton,0.347585749,0.085107339,0.01641371,0.003290381,0.000683048,9.93E-05
Georgia Tech,0.596044067,0.020182921,0.007609487,0.002452189,0.000429097,6.18E-05
Colorado,0.525469095,0.076228543,0.022644682,0.00119278,0.000289855,5.06E-05
Arkansas,0.556312508,0.058451899,0.024951141,0.002750841,0.000405085,4.94E-05
South Florida,0.5389475,0.009867822,0.00430383,0.001361644,0.000282632,4.19E-05
Utah,0.443687492,0.039207339,0.01877134,0.002451293,0.000324781,3.58E-05
Creighton,0.474530905,0.064150384,0.016709123,0.000749298,0.000167944,2.70E-05
Miami (FL),0.4610525,0.007239647,0.00297007,0.000874006,0.000168755,2.32E-05
Missouri State,0.170498091,0.065713754,0.012669776,0.001283693,0.000179442,2.10E-05
Kansas State,0.605084625,0.019729642,0.007952978,0.000985591,0.000164129,1.91E-05
Kansas,0.403955933,0.009583501,0.002955751,0.000783259,0.000112218,1.34E-05
Florida Gulf Coast,0.219088441,0.040148346,0.002741426,0.000732497,9.92E-05,1.12E-05
Stephen F. Austin,0.230907324,0.057738532,0.001594994,0.000400844,7.48E-05,9.96E-06
Florida State,0.145099128,0.053352465,0.009039253,0.000800521,9.49E-05,9.49E-06
Belmont,0.302025808,0.06558423,0.007311938,0.001196185,7.69E-05,9.06E-06
Dayton,0.182845454,0.025317772,0.00643643,0.000325771,6.34E-05,8.84E-06
DePaul,0.193620731,0.027462737,0.006249947,0.000276407,5.56E-05,8.04E-06
Buffalo,0.129874739,0.044954461,0.004694988,0.000726977,4.92E-05,6.09E-06
Florida,0.288452623,0.013279759,0.003394643,0.000339674,4.56E-05,4.31E-06
Massachusetts,0.215209501,0.04584014,0.003333259,0.000470561,5.25E-05,4.12E-06
Washington State,0.394915375,0.008739935,0.002886372,0.000276361,3.51E-05,3.14E-06
IUPUI,0.160455357,0.0515812,0.002668574,0.000277904,3.45E-05,3.01E-06
Villanova,0.220302065,0.027498919,0.002439856,0.000309275,1.65E-05,1.65E-06
Jackson State,0.132896608,0.026403309,0.002198911,9.41E-05,5.62E-06,2.95E-07
Nevada-Las Vegas,0.111548493,0.02434645,0.000267804,3.39E-05,3.58E-06,2.70E-07
Delaware,0.069570116,0.013649353,0.000377345,5.13E-05,3.47E-06,2.05E-07
Charlotte,0.055479199,0.009502904,0.000492317,3.06E-05,2.48E-06,1.43E-07
Illinois State,0.03009208,0.007463744,0.000848647,1.50E-05,1.38E-06,9.06E-08
Texas-Arlington,0.028807703,0.005657681,0.000502391,7.71E-06,5.99E-07,3.33E-08
Mercer,0.009840479,0.001909863,0.000225784,1.03E-05,6.61E-07,3.03E-08
Fairfield,0.012267917,0.00222123,0.000339788,1.04E-05,4.69E-07,1.90E-08
Montana State,0.002447694,0.000409905,4.29E-05,4.08E-06,1.25E-07,3.56E-09
Longwood,0.002794672,0.000656717,8.41E-05,2.67E-06,8.64E-08,2.07E-09
American,0.02198064,0.002457101,6.23E-05,2.62E-06,4.53E-08,1.63E-09
Albany (NY),0.003886854,0.000307486,2.03E-05,6.69E-07,9.45E-09,2.83E-10
Hawaii,0.004124082,0.000296035,1.75E-05,6.38E-07,8.97E-09,2.68E-10
Howard,0.000346846,2.94E-05,2.26E-06,1.09E-07,3.16E-09,6.80E-11
Mount St. Mary's,0.00044355,5.82E-05,4.89E-06,9.89E-08,1.97E-09,3.00E-11
Incarnate Word,2.96E-05,9.78E-07,2.86E-08,5.29E-10,8.00E-12,0
